Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[N2O] dissolved with water vapour (ppm),[N2O] dissolved with water vapour (nmol/L),[N2O] dissolved with constant dry gas flow (ppm),[N2O] dissolved with constant dry gas flow (nmol/L),[NH3] dissolved (ppm),Depth (meter),Hydrostatic Pressure Calibrated (bar),[CH4] measured (ppm),[N2O] measured (ppm),[NH3] measured (ppm),[H2O] measured (%),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Box Pressure (mbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,[CH4] dissolved with water vapour (ppm)_RSD,[CH4] dissolved with water vapour (nmol/L)_RSD,[N2O] dissolved with water vapour (ppm)_RSD,[N2O] dissolved with water vapour (nmol/L)_RSD,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,Error Standard_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,[CH4] dissolved with water vapour (nmol/L)_FLAG,[N2O] dissolved with water vapour (ppm)_FLAG,[N2O] dissolved with water vapour (nmol/L)_FLAG,is_downcast,Dry gas Flow [sccm],water vapour,[CH4] dissolved with water vapour (ppm) corrected Tcell,[CH4] dissolved with water vapour (nmol/L) corrected Tcell,H20 measured,[H2O] measured corrected Tcell,Total Flow (sccm) corrected Tcell
2024/07/14,12:13:08,2024/07/14,12:13:16,25.6463,28.4344,213.409,236.609,,,-4.28177,-4.74726,7.37368,4.61446,0.464,1.351,1.151,-0.313,,1.99969,9.99969,30.0469,39.94,0.29,-0.205,0.0486,27.733,28.312,4.636,25.62,34.99,48.383,52.19,0.941,0.782,2024-07-14 12:13:08,9.209749554516635e-05,8.30669892805897e-05,-0.004590260786420993,-0.004140165013435606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,,,25.660541600588324,25.660541600588324,,,
2024/07/14,12:13:09,2024/07/14,12:13:17,50.1792,55.6343,520.717,577.327,,,-19.648,-21.784,0.343061,4.61446,0.464,3.009,-0.352,0.605,,2.0,10.0,30.0156,39.961,0.29,-0.054,0.0412,27.735,28.308,4.636,25.45,34.99,48.378,52.19,0.929,0.7721,2024-07-14 12:13:09,3.3827562017728465e-05,3.0510674170430833e-05,-0.0008965083791506242,-0.0008086012490294061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,,,50.19730867910599,50.19730867910599,,,
2024/07/14,12:13:10,2024/07/14,12:13:18,25.4252,28.1892,334.038,370.352,,,-21.6899,-24.0479,1.12656,4.55081,0.4576,1.573,1.142,-0.44,4.190000000000003,2.0,10.0006,30.0156,39.957,0.286,-0.07,0.0418,27.616,28.308,4.636,25.11,34.99,48.381,52.19,0.924,0.7649,2024-07-14 12:13:10,6.87207966898982e-05,6.198260326649922e-05,-0.0010583432268068712,-0.0009545673076923075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,7.58157486,0.4190251400000003,25.4353168972959,25.4353168972959,0.04190000000000003,0.04194453125049274,9.623519391250493
2024/07/14,12:13:11,2024/07/14,12:13:19,22.3187,24.7451,269.896,299.237,,0.27885,3.04143,3.37208,-1.81596,4.61446,0.464,2.192,-0.08,1.111,2.810600000000002,2.0,10.0,29.9844,39.952,0.29,0.11,0.0528,27.583,28.312,4.66,25.11,34.99,48.379,52.186,0.909,0.752,2024-07-14 12:13:11,0.00012491050105964952,0.00011266230486035618,0.011084498306216899,0.009997633136094674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,7.71894,0.28106000000000025,22.32861390457363,22.32861390457363,0.028106000000000023,0.028139348504699915,9.7470793485047
2024/07/14,12:13:12,2024/07/14,12:13:20,,,204.357,226.574,27.062,30.004,15.687,17.3924,-86.9464,4.67811,0.4704,2.184,-0.22,0.822,22.547200000000004,2.00031,10.0,29.9531,39.947,0.294,-0.104,0.061,27.849,28.312,4.66,25.29,34.99,48.381,52.182,0.937,0.7823,2024-07-14 12:13:12,1.0554770779084478e-05,9.519837899239641e-06,0.00013749907619540314,0.00012401679776029862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,True,5.74497,2.2547200000000003,,,0.22547200000000003,0.22576743248913234,7.971047432489132
2024/07/14,12:13:13,2024/07/14,12:13:21,48.3728,53.6316,235.075,260.631,,,-9.12529,-10.1173,12.4629,4.67811,0.4704,1.486,0.992,-0.328,128.96200000000002,2.00031,10.0009,30.0156,39.94,0.294,-0.23,0.042,27.672,28.312,4.66,25.64,34.99,48.381,52.186,0.942,0.7816,2024-07-14 12:13:13,3.646677471636953e-05,3.289105676504151e-05,-0.0009394121750800152,-0.0008472988745911207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,-4.896770658000003,12.897360658000002,48.39966181230583,48.39966181230583,1.2896200000000002,1.2915332773971364,-1.6049273806028665
2024/07/14,12:13:14,2024/07/14,12:13:22,33.0711,36.6663,218.888,242.684,,,-0.920491,-1.02056,2.41156,4.61446,0.464,1.545,1.598,-0.47,116.2674,2.00031,10.0009,30.0156,39.945,0.29,-0.07,0.0447,27.691,28.315,4.66,24.95,34.99,48.382,52.19,0.935,0.776,2024-07-14 12:13:14,6.041800847265436e-05,5.449390857544938e-05,-0.014367099529746751,-0.012958370354036823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,-3.6271964065999995,11.627786406599999,33.087933486161084,33.087933486161084,1.162674,1.164255000077355,-0.4626314065226449
2024/07/14,12:13:15,2024/07/14,12:13:23,70.834,78.5347,514.457,570.386,,,-44.1801,-48.9831,1.00239,4.55081,0.4576,3.438,-0.325,-2.014,120.64920000000002,2.0,10.0003,30.0469,39.959,0.286,-0.302,0.0417,27.738,28.313,4.66,25.82,34.99,48.377,52.193,0.935,0.7773,2024-07-14 12:13:15,2.4548804246548267e-05,2.214167750051888e-05,-0.00028585965523703684,-0.0002578299104581182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,-4.0649819476000015,12.0652819476,70.86087398645937,70.86087398645937,1.2064920000000001,1.2077145573692794,-0.8572673902307222
2024/07/14,12:13:16,2024/07/14,12:13:24,,,311.806,345.704,3.03453,3.36443,-36.5419,-40.5145,8.16216,4.61446,0.464,2.309,-0.107,1.534,109.49080000000001,2.0,10.0009,29.9531,39.952,0.29,-0.19,0.0319,27.583,28.315,4.636,25.3,34.99,48.38,52.182,0.886,0.7326,2024-07-14 12:13:16,-3.9300279610090676e-05,-3.544666680599968e-05,0.0003353435293109641,0.00030246133817615463,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,True,-2.9491654172000015,10.950065417200001,,,1.094908,1.0962071370022042,0.1470417198022027
2024/07/14,12:13:17,2024/07/14,12:13:25,,,576.359,639.018,3.91935,4.34544,-36.495,-40.4625,-1.10837,4.61446,0.464,5.634,-0.491,0.089,111.6362,2.00031,10.0006,29.9688,39.956,0.29,-0.194,0.0244,27.716,28.315,4.636,25.3,34.99,48.381,52.186,0.937,0.7787,2024-07-14 12:13:17,-9.618451089458899e-06,-8.675328005968514e-06,0.00015190273897457487,0.00013700798998490373,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,True,-3.1639998172000023,11.164289817200002,,,1.116362,1.1175760899610903,-0.04611372723891227
