Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[N2O] dissolved with water vapour (ppm),[N2O] dissolved with water vapour (nmol/L),[N2O] dissolved with constant dry gas flow (ppm),[N2O] dissolved with constant dry gas flow (nmol/L),[NH3] dissolved (ppm),Depth (meter),Hydrostatic Pressure Calibrated (bar),[CH4] measured (ppm),[N2O] measured (ppm),[NH3] measured (ppm),[H2O] measured (%),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Box Pressure (mbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,[CH4] dissolved with water vapour (ppm)_RSD,[CH4] dissolved with water vapour (nmol/L)_RSD,[N2O] dissolved with water vapour (ppm)_RSD,[N2O] dissolved with water vapour (nmol/L)_RSD,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,Error Standard_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,[CH4] dissolved with water vapour (nmol/L)_FLAG,[N2O] dissolved with water vapour (ppm)_FLAG,[N2O] dissolved with water vapour (nmol/L)_FLAG,is_downcast,Dry gas Flow [sccm],water vapour,[CH4] dissolved with water vapour (ppm) corrected Tcell,[CH4] dissolved with water vapour (nmol/L) corrected Tcell,H20 measured,[H2O] measured corrected Tcell,Total Flow (sccm) corrected Tcell
2024/07/12,20:19:58,2024/07/12,20:20:06,7.67349,8.50771,245.073,271.716,0.26684,0.295849,8.52223,9.44871,0.0325645,3.81887,0.384,2.549,0.223,0.048,,1.99969,10.0003,30.0469,40.004,0.24,-1.375,0.0032,27.759,22.253,4.685,37.26,34.99,48.396,52.163,0.942,0.7842,2024-07-12 20:19:58,1.3344645005075918e-06,1.2036141335329954e-06,3.8375056213461245e-05,3.4612251520201185e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,7.6732060913746185,7.6732060913746185,,,
2024/07/12,20:19:59,2024/07/12,20:20:07,7.45411,8.26448,238.13,264.018,0.312971,0.346996,9.99821,11.0852,0.0212852,3.88252,0.3904,2.609,0.25,0.014,,2.00031,9.99969,30.0313,39.999,0.244,-1.547,0.0028,27.796,22.25,4.66,37.26,34.99,48.391,52.167,0.933,0.7775,2024-07-12 20:19:59,1.051768755760245e-06,9.48638026832904e-07,2.505024427183349e-05,2.2593920391013148e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,7.454178951155298,7.454178951155298,,,
2024/07/12,20:20:00,2024/07/12,20:20:08,7.53304,8.35199,240.382,266.515,0.259469,0.287677,8.27974,9.17987,0.0376041,4.00981,0.4032,2.525,0.239,-0.004,1.9791999999999998,2.00062,9.99969,29.9844,40.012,0.252,-1.373,0.0041,27.761,22.251,4.685,37.6,34.99,48.386,52.171,0.941,0.7835,2024-07-12 20:20:00,2.231502819578816e-06,2.0126939807159732e-06,6.478615942559614e-05,5.8433590450400976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,7.801156135519999,0.19791386447999998,7.532203925364285,7.532203925364285,0.019791999999999997,0.019786137763103548,9.821562273283103
2024/07/12,20:20:01,2024/07/12,20:20:09,7.83117,8.68253,250.35,277.567,0.23897,0.264949,7.63948,8.47,0.0337823,3.94616,0.3968,2.525,0.202,-0.018,2.0987999999999998,2.0,9.99969,29.9688,39.99,0.248,-1.388,0.0038,27.688,22.253,4.685,37.26,34.99,48.388,52.174,0.941,0.7812,2024-07-12 20:20:01,1.8439134892998109e-06,1.663109715716502e-06,6.042599489475667e-05,5.450105492000348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,7.789816506279999,0.20987349371999997,7.831894450236646,7.831894450236646,0.020987999999999996,0.020993183216936256,9.810809689496935
2024/07/12,20:20:02,2024/07/12,20:20:10,7.46872,8.28067,238.8,264.761,0.313986,0.348121,10.0392,11.1306,0.0175151,3.88252,0.3904,2.588,0.257,0.004,1.6341999999999999,2.00062,10.0003,29.9844,40.004,0.244,-1.547,0.0032,27.767,22.253,4.685,36.91,34.99,48.388,52.174,0.937,0.7797,2024-07-12 20:20:02,1.3710515322572007e-06,1.2366149115953178e-06,3.2612919047346065e-05,2.9415059706251562e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,7.8362550974,0.16342490259999998,7.4684436675843,7.4684436675843,0.016342,0.01634038622345657,9.853215483623456
2024/07/12,20:20:03,2024/07/12,20:20:11,7.06187,7.82959,225.98,250.547,0.421255,0.467051,13.4802,14.9456,-0.00500015,3.88252,0.3904,2.507,0.247,0.021,-0.20580000000000007,1.99969,10.0003,29.9531,39.999,0.244,-1.426,0.0051,27.677,22.253,4.66,36.91,34.99,48.395,52.167,0.93,0.7716,2024-07-12 20:20:03,3.6831604093533305e-06,3.3220130300564913e-06,6.174407425431153e-05,5.5689849716626246e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8.0211906174,-0.020580617400000004,7.0619353229017365,7.0619353229017365,-0.002058000000000001,-0.0020580508132745806,10.018822566586724
2024/07/12,20:20:04,2024/07/12,20:20:12,7.0694,7.83795,225.813,250.362,0.26425,0.292978,8.44075,9.35838,0.0475844,3.88252,0.3904,2.454,0.292,0.002,-0.7534000000000001,1.99969,9.99969,29.9688,40.004,0.244,-1.433,0.005,27.628,22.248,4.685,37.43,34.99,48.391,52.167,0.94,0.7783,2024-07-12 20:20:04,3.5363680086004474e-06,3.189609528001582e-06,9.460737937559131e-05,8.533063916061957e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8.07533766446,-0.07533766446000001,7.06913844187765,7.06913844187765,-0.007534000000000001,-0.0075332560156358966,10.067494408444363
2024/07/12,20:20:05,2024/07/12,20:20:13,7.72625,8.5662,246.509,273.308,0.289632,0.321119,9.24083,10.2454,-0.00877673,3.88252,0.3904,2.473,0.268,0.016,-1.1392000000000002,2.00062,10.0009,29.9688,40.0,0.244,-1.349,0.0038,27.638,22.25,4.685,37.77,34.99,48.391,52.171,0.932,0.7721,2024-07-12 20:20:05,1.8689532438116809e-06,1.6856949405804207e-06,4.985636946193791e-05,4.4967753387373535e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8.1142102528,-0.11393025280000002,7.72625,7.72625,-0.011392000000000003,-0.011392000000000003,10.103438252799998
2024/07/12,20:20:06,2024/07/12,20:20:14,7.61727,8.44537,242.808,269.205,0.273579,0.30332,8.7206,9.66866,0.0,3.94616,0.3968,2.652,0.213,0.026,-0.8688,2.00094,10.0006,29.9688,39.975,0.248,-1.554,0.003,27.625,22.248,4.685,37.08,34.99,48.388,52.163,0.94,0.7785,2024-07-12 20:20:06,1.181525664706647e-06,1.0656726703507364e-06,3.289726185123858e-05,2.967163391797442e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8.0865452128,-0.0868852128,7.619031901127136,7.619031901127136,-0.008688,-0.008693365980151248,10.078791846819849
2024/07/12,20:20:07,2024/07/12,20:20:15,7.10879,7.88161,226.109,250.691,0.376084,0.416969,11.9621,13.2626,-0.0138334,3.88252,0.3904,2.578,0.25,0.017,-0.623,2.00062,10.0,29.9844,40.016,0.244,-1.475,0.0032,27.647,22.251,4.685,37.43,34.99,48.394,52.167,0.939,0.7785,2024-07-12 20:20:07,1.440470178469191e-06,1.299226934598388e-06,2.7227959711128366e-05,2.455818058416813e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8.06168,-0.0623,7.107738054767894,7.107738054767894,-0.00623,-0.00622753987264871,10.056072460127352
